id	doi	title	author	journaltitle	volume	issue	pubdate	pagerange	publisher	type	reviewed-work	abstract
10.2307/41211810	10.2307/41211810	JOURNALISM: Mr. Mencken and the Jews	SHELDON L. RICHMAN	The American Scholar	59	3	1990-07-01T00:00:00Z	pp. 407-411	The Phi Beta Kappa Society	fla			
10.2307/25177324	10.2307/25177324	Gender, Class, or Ethno-Cultural Struggle? The Problematic Relationship between Rose Pesotta and the Los Angeles ILGWU	John H. M. Laslett	California History	72	1	1993-04-01T00:00:00Z	pp. 20-39	California Historical Society, University of California Press	fla			
10.2307/650673	10.2307/650673	Women in History. The Modern Period	Joan Wallach Scott	Past & Present		101	1983-11-01T00:00:00Z	pp. 141-157	Oxford University Press, The Past and Present Society	fla			
10.2307/25163295	10.2307/25163295	Progressive-Era Resources on the World Wide Web	Amanda Howenstein	OAH Magazine of History	13	3	1999-04-01T00:00:00Z	pp. 58-59	Organization of American Historians	fla			
10.2307/818343	10.2307/818343	Postmodernism for High-School Students	Kathleen M. Puhr	The English Journal	81	1	1992-01-01T00:00:00Z	pp. 64-66	National Council of Teachers of English	fla			
10.2307/23286362	10.2307/23286362	Ultimate Taboos: Incest and Mormon Polygamy	Jessie L. Embry	Journal of Mormon History	18	1	1992-04-01T00:00:00Z	pp. 93-113	Mormon History Association	fla			
10.2307/2712642	10.2307/2712642	"The Quagmires of Necessity": American Anarchists and Dilemmas of Vocation	Blaine McKinley	American Quarterly	34	5	1982-12-01T00:00:00Z	pp. 503-523	The Johns Hopkins University Press	fla			
10.2307/1844919	10.2307/1844919	Anarchism and the Assassination of McKinley	Sidney Fine	The American Historical Review	60	4	1955-07-01T00:00:00Z	pp. 777-799	American Historical Association, Oxford University Press	fla			
10.2979/JML.2010.33.4.57	10.2979/JML.2010.33.4.57	Anarchist Transformations of English Surrealism: The Villa Seurat Network	James D. Gifford	Journal of Modern Literature	33	4	2010-07-01T00:00:00Z	pp. 57-71	Indiana University Press	fla		This article traces the Villa Seurat's literary network and its neglected anarchist background in Henry Miller's influence and Lawrence Durrell's unrecognized anarchist affiliations. Miller and Durrell influenced an anarchist revision of the socialist and communist orthodoxy of Surrealism. Their anarchist views, which retained surrealist aesthetics, played a major role in the international development of English language Surrealism prior to and during World War II. It had an impact on poets as diverse as David Gascoyne, Henry Treece, Robert Duncan and Kenneth Rexroth.	
10.2307/651252	10.2307/651252	Ninth-Century Muslim Anarchists	Patricia Crone	Past & Present		167	2000-05-01T00:00:00Z	pp. 3-28	Oxford University Press, The Past and Present Society	fla			
10.2307/41287809	10.2307/41287809	"Electric Currents of Life:" Lola Ridge's Immigrant Flaneuserie	Nancy Berke	American Studies	51	1/2	2010-04-01T00:00:00Z	pp. 27-47		fla			
10.2307/4467742	10.2307/4467742	Judaism as a Gendered Civilization: The Legacy of Mordecai Kaplan's Magnum Opus	Deborah Dash Moore	Jewish Social Studies	12	2	2006-01-01T00:00:00Z	pp. 172-186	Indiana University Press	fla			
10.2307/40326065	10.2307/40326065	Getting It Right, or Left: Marxism and Competition	Deirdre N. McCloskey	Eastern Economic Journal	27	4	2001-10-01T00:00:00Z	pp. 515-520	Palgrave Macmillan Journals	fla			
10.2307/29784900	10.2307/29784900	O'Neill, Glaspell, and John Reed: Antiwar, Pro-American Reformers	Yvonne Shafer	The Eugene O'Neill Review	32		2010-01-01T00:00:00Z	pp. 70-85	Penn State University Press	fla			
10.2307/20446350	10.2307/20446350	When Multiplication Doesn't Equal Quick Addition: Examining Intersectionality as a Research Paradigm	Ange-Marie Hancock	Perspectives on Politics	5	1	2007-03-01T00:00:00Z	pp. 63-79	American Political Science Association	fla		In the past twenty years, intersectionality has emerged as a compelling response to arguments on behalf of identity-based politics across the discipline. It has done so by drawing attention to the simultaneous and interacting effects of gender, race, class, sexual orientation, and national origin as categories of difference. Intersectional arguments and research findings have had varying levels of impact in feminist theory, social movements, international human rights, public policy, and electoral behavior research within political science and across the disciplines of sociology, critical legal studies, and history. Yet consideration of intersectionality as a research paradigm has yet to gain a wide foothold in political science. This article closely reads research on race and gender across subfields of political science to present a coherent set of empirical research standards for intersectionality.	
10.2307/2587365	10.2307/2587365	From Antisuffragism to Anti-Communism: The Conservative Career of Ida M. Darden	Elna C. Green	The Journal of Southern History	65	2	1999-05-01T00:00:00Z	pp. 287-316	Southern Historical Association	fla			
10.2307/2712299	10.2307/2712299	The Anarchist-Feminist Response to the "Woman Question" in Late Nineteenth-Century America	Margaret S. Marsh	American Quarterly	30	4	1978-10-01T00:00:00Z	pp. 533-547	The Johns Hopkins University Press	fla			
10.2307/25144325	10.2307/25144325	'An Actual Working out of Internationalism': Russian Politics, Zionism, and Lillian Wald's Ethnic Progressivism	Marjorie N. Feld	The Journal of the Gilded Age and Progressive Era	2	2	2003-04-01T00:00:00Z	pp. 119-149	Society for Historians of the Gilded Age & Progressive Era	fla			
10.2307/41105205	10.2307/41105205	Spanking Florbela: Adília Lopes and a Genealogy of Feminist Parody in Portuguese Poetry	ANNA KLOBUCKA	Portuguese Studies	19		2003-01-01T00:00:00Z	pp. 190-204	Modern Humanities Research Association	fla			
10.2307/3311162	10.2307/3311162	Conspiracy and the First Amendment	David B. Filvaroff	University of Pennsylvania Law Review	121	2	1972-12-01T00:00:00Z	pp. 189-253	The University of Pennsylvania Law Review	fla			
10.2307/2776620	10.2307/2776620	The Woman Book Industry	Carol Ehrlich	American Journal of Sociology	78	4	1973-01-01T00:00:00Z	pp. 1030-1044	The University of Chicago Press	fla		This article reviews and evaluates 17 recent products of the woman book industry. The books are all either by female authors or, if coedited of coauthored, by at least one female. The products include monographs, edited readers, works for general audiences, and textbooks. All 17 were issued for the first time in 1971 or 1972.	
10.2307/27671395	10.2307/27671395	Immigration and the Working Class: The Remigration Factor	Dirk Hoerder	International Labor and Working-Class History		21	1982-04-01T00:00:00Z	pp. 28-41	Cambridge University Press, International Labor and Working-Class, Inc.	fla			
10.2307/23170033	10.2307/23170033	Rose of the World: The Pastor-Stokes Marriage and the American Left, 1905–1925	PATRICK RENSHAW	New York History	62	4	1981-10-01T00:00:00Z	pp. 415-438	New York State Historical Association	fla			
10.2307/2134583	10.2307/2134583	Women and the Pill: From Panacea to Catalyst	Susan C. M. Scrimshaw	Family Planning Perspectives	13	6	1981-11-01T00:00:00Z	pp. 254-256+260-262	Guttmacher Institute	fla			
10.2307/27781139	10.2307/27781139	Late	ASKOLD MELNYCZYCK	The American Poetry Review	22	3	1993-05-01T00:00:00Z	p. 56	American Poetry Review	fla			
10.2307/303540	10.2307/303540	Wet, Dark, and Low, Eco-Man Evolves from Eco-Woman	Andrew Ross	boundary 2	19	2	1992-07-01T00:00:00Z	pp. 205-232	Duke University Press	fla			
10.2307/3177511	10.2307/3177511	Separatism as Strategy: Female Institution Building and American Feminism, 1870-1930	Estelle Freedman	Feminist Studies	5	3	1979-10-01T00:00:00Z	pp. 512-529	Feminist Studies, Inc.	fla			
10.2307/40857971	10.2307/40857971	THE MABEL DODGE LUHAN PAPERS	Donald Gallup	The Yale University Library Gazette	37	3	1963-01-01T00:00:00Z	pp. 97-105	Yale University, Yale University Library	fla			
10.2307/20615768	10.2307/20615768	Oregon Voices: At War over the Espionage Act in Portland: Dueling Perspectives from Kathleen O'Brennan and Agent William Bryon	Adam J. Hodges	Oregon Historical Quarterly	108	3	2007-10-01T00:00:00Z	pp. 474-486	Oregon Historical Society	fla			
10.2307/4496990	10.2307/4496990	Labor, Memory, and the Boundaries of Print Culture: From Haymarket to the Mexican Revolution	Shelley Streeby	American Literary History	19	2	2007-07-01T00:00:00Z	pp. 406-433	Oxford University Press	fla			
10.2307/27509279	10.2307/27509279	Toil, Struggle and Repose: Oral History and the Exploration of Labour Culture in Australia	Lucy Taksa	Labour History		67	1994-11-01T00:00:00Z	pp. 110-127	Australian Society for the Study of Labour History, Inc.	fla			
10.2307/1966856	10.2307/1966856	Contraceptive Failure in the United States: A Critical Review of the Literature	James Trussell, Kathryn Kost	Studies in Family Planning	18	5	1987-09-01T00:00:00Z	pp. 237-283	Population Council	fla			
10.2307/4609499	10.2307/4609499	Mover and Shaker: Walter Lippmann as a Young Man	Heinz Eulau	The Antioch Review	11	3	1951-10-01T00:00:00Z	pp. 291-312	Antioch Review, Inc.	fla			
10.2307/3487815	10.2307/3487815	Why the Georgist Movement Has Not Succeeded: A Personal Response to the Question Raised by Warren J. Samuels	Mark A. Sullivan	American Journal of Economics and Sociology	62	3	2003-07-01T00:00:00Z	pp. 607-623	American Journal of Economics and Sociology, Inc.	fla		The intellectual/reform movement founded by Henry George has not succeeded, but it has survived. George both accepted and challenged prevailing 19th-century expectations (within Western culture) of unlimited economic and social progress. The failure of later Georgists to adapt the substance and style of George's analysis in response to modern and post-modern issues may have been one factor contributing to the decline of Georgism during the 20th century. The effective end of the 19th century, symbolized by the sinking of the Titanic and realized by World War I, left unresolved to this day the socioeconomic problems of monopoly, privilege, and the commodification/exploitation of both labor and land--problems now associated with globalization. A revitalized Georgism could and would need to address these 21st-century realities.	
10.2307/260236	10.2307/260236	Individual Terror: Concept and Typology	Ze'ev Iviansky	Journal of Contemporary History	12	1	1977-01-01T00:00:00Z	pp. 43-63	Sage Publications, Ltd.	fla			
10.2307/1073382	10.2307/1073382	Litigating for Lesbian and Gay Rights: A Legal History	Patricia A. Cain	Virginia Law Review	79	7	1993-10-01T00:00:00Z	pp. 1551-1641	Virginia Law Review	fla			
10.2307/27556325	10.2307/27556325	"Confusion of Mind": Colonial and Post-Colonial Discourses about Frontier Encounters	Dolores E. Janiewski	Journal of American Studies	32	1	1998-04-01T00:00:00Z	pp. 81-103	British Association for American Studies, Cambridge University Press	fla			
10.1086/667621	10.1086/667621	Anarchism and the Archaeology of Anarchic Societies: Resistance to Centralization in the Coast Salish Region of the Pacific Northwest Coast	Bill Angelbeck, Colin Grier	Current Anthropology	53	5	2012-10-01T00:00:00Z	pp. 547-587	The University of Chicago Press, Wenner-Gren Foundation for Anthropological Research	fla		Throughout human history, people have lived in societies without formalized government. We argue that the theory of anarchism presents a productive framework for analyzing decentralized societies. Anarchism encompasses a broad array of interrelated principles for organizing societies without the centralization of authority. Moreover, its theory of history emphasizes an ongoing and active resistance to concentrations of power. We present an anarchist analysis of the development of social power, authority, and status within the Coast Salish region of the Northwest Coast. Coast Salish peoples exhibited complex displays of chiefly authority and class stratification but without centralized political organization. Ethnographically, their sociopolitical formation is unique in allowing a majority of “high-class” people and a minority of commoners and slaves, or what Wayne Suttles described as an “inverted-pear” society. We present the development of this sociopolitical structure through an analysis of cranial deformation from burial data and assess it in relation to periods of warfare. We determine that many aspects of Coast Salish culture include practices that resist concentrations of power. Our central point is that anarchism is useful for understanding decentralized (or anarchic) networks—those that allow for complex intergroup relations while staving off the establishment of centralized political authority.	
10.2307/41178449	10.2307/41178449	HEIDEGGER'S "NIETZSCHE" AND NIETZSCHE'S PLAY: The Questions of Wo(man), Christianity, Nihilism, and Humanism	E. IMAFEDIA OKHAMAFE	Soundings: An Interdisciplinary Journal	71	4	1988-12-01T00:00:00Z	pp. 533-553	Penn State University Press	fla			
10.5325/shaw.32.1.0194	10.5325/shaw.32.1.0194	A CONTINUING CHECKLIST OF SHAVIANA	John R. Pfeiffer	Shaw	32	1	2012-01-01T00:00:00Z	pp. 194-241	Penn State University Press	fla			
10.1525/rh.1995.13.4.401	10.1525/rh.1995.13.4.401	Border Crossings: Intersections of Rhetoric and Feminism	Lisa Ede, Cheryl Glenn, Andrea Lunsford	Rhetorica: A Journal of the History of Rhetoric	13	4	1995-11-01T00:00:00Z	pp. 401-441	International Society for the History of Rhetoric, University of California Press	fla		Abstract: In this essay, we explore the intersections of rhetoric and feminism and the resulting transformations to both disciplines. Rhetoric offers feminism a vibrant process of inquiring, organizing, and thinking, as well as a theorized space to talk about effective communication; feminism offers rhetoric a reason to bridge differences, to include, and to empower, as well as a politicized space to discuss rhetorical values. The fraditional rhetorical canons, with their enthymematic familiarity, mark the sections of this essay, for they emphasize the mutually heuristic nature of the border crossings between these two disdplines. Although the linearity of print demands that we treat the canons consecutively, they, nevertheless, have a tendency to overlap and interact. Our discussions of arrangement, style, and delivery, for instance, both assume and depend upon a rethinking of invention and memory—a rethinking that recognizes the role that both these canons play in current efforts to reconceptualize and reenact what it means to know, speak, and write. As our essay argues, such attention to what we speak about, and how and why we speak, urges ail of us not only to continued exploration and interrogation but also to a renewed responsibility for our professional and personal discursive acts.	
10.2307/778323	10.2307/778323	Working Title: Journeys from Berlin/1971	Yvonne Rainer	October	9		1979-07-01T00:00:00Z	pp. 80-106	The MIT Press	fla			
10.2307/4400725	10.2307/4400725	An Imagined Reality: Malthusianism, Neo-Malthusianism and Population Myth	Mohan Rao	Economic and Political Weekly	29	5	1994-01-29T00:00:00Z	pp. PE40-PE52	Economic and Political Weekly	fla		Malthusianism and neo-Malthusianism offer an excessively simplistic understanding of the complex relationship of resources and population, which has proven to be a theoretical red herring. This article attempts to critically examine the Malthusian writings locating the philosophy in a socio-political context and draws attention to its conceptual, methodological and empirical weaknesses.	
10.2307/20025131	10.2307/20025131	On Rereading "The Woman in America"	Carl N. Degler	Daedalus	116	4	1987-10-01T00:00:00Z	pp. 199-210	American Academy of Arts & Sciences, The MIT Press	fla			
10.2307/25515206	10.2307/25515206	Bending the Bars of Empire from Every Ghetto for Survival: The Black Panther Party's Radical Antihunger Politics of Social Reproduction and Scale	Nik Heynen	Annals of the Association of American Geographers	99	2	2009-04-01T00:00:00Z	pp. 406-422	Association of American Geographers, Taylor & Francis, Ltd.	fla		Among the most important political achievements of the Black Panther Party (BPP) was the success of their Free Breakfast for Children Program. At the Breakfast Program's peak in late 1969 and early 1970, the BPP and other volunteers fed thousands of children daily before they went to school across the country. The historic importance of the BPP's Breakfast Program rests both in the fact that it was imperative for the social reproduction of many inner-city communities and that it was both the model for, and impetus behind, all federally funded school breakfast programs currently in existence within the United States. At the heart of the BPP's Free Breakfast for Children Program and the spatial practices that led to its ultimate success are a set of scalar politics that played out as a result of (1) the failures of the U.S. national welfare state, (2) the BPP's evolved scaling of their revolutionary praxis, and (3) the local spatial practices they employed to serve the poor. All of these processes occurred despite attempts by the state to sabotage the BPP's political efforts. /// 黑豹党(BPP)最重要的政治成就之一就是他们的儿童兔费早餐计划. 在 1969 年后期和 70 年代初 期, 黑豹党儿童免费早餐计划的高峰期, 黑豹党和其他志愿者每天为全国各地学校数以干计的儿童 在他们上学之前提供食物. BPP 的旱餐计划的重要历史意义在于下远两点事实, 它是许多内城巿土区 巿土会再生产的当务之急, 它也是美国目前存在的联邦资助的学校早餐计划的模型和背后动力. BPP 的儿童免费早餐计划和地域实践导致其最终的成功, 其核心是下远尺度政治学所发挥的结果 (1) 美 国国家福利的失败, (2) BPP 革命实践的演变, 以及 (3) 所实行的为穷人服务的地域空间的实践 工作. 尽管国家企图干扰破环 BPP 的政治努力, 所有这些进程还是发生了. /// Uno de los logros políticos más importantes del Partido de las Panteras Negras (PPN) fue el éxito de su Programa de Desayunos Gratis para Niños. En la cúspide del Programa de Desayunos, a finales de 1969 y principios de 1970, el PPN y otros voluntarios alimentaron diariamente, antes de ir a la escuela, a miles de niños por todo el país. La importancia histórica del Programa de Desayundos del PPN estriba tanto en el hecho de que fue imperativo para la reproducción social de muchas comunidades de la ciudad, como en haberse constituido en el modelo y acicate para la implementación de todos los programas de desayuno escolar que hoy existen en los Estados Unidos, con financiación federal. Detrás del Programa de Desayunos Gratis para Niños del PPN, y de las prácticas espaciales que condujeron a su éxito final, se encuentra un conjunto de políticas que entraron en juego como resultado de (1) los fracasos de la gestión de bienestar social del gobierno, (2) la propia evolución de la praxis revolucionaria del PPN, y (3) las prácticas espaciales locales que ellos emplearon para servir a los pobres. Todos estos procesos se dieron a pesar de los intentos del estado para sabotear los esfuerzos políticos del PPN.	
10.2307/521944	10.2307/521944	Doria Shafik's French Writing: Hybridity in a Feminist Key / ﻛﺘﺎﺑﺔ ﺩﺭﻳﺔ ﺷﻔﻴﻖ ﺑﺎﻟﻔﺮﻧﺴﻴﺔ: ﺍﻟﻨﺺ ﺍﻟﻤﺰﺩﻭﺝ ﺑﻨﺒﺮﺓ ﻧﺴﻮﻳﺔ	Cynthia Nelson, ﺳﻴﻨﺜﻴﺎ ﻧﻴﻠﺴﻮﻥ, Doria Shafik, ﺩﺭﻳﺔ ﺷﻔﻴﻖ	Alif: Journal of Comparative Poetics		20	2000-01-01T00:00:00Z	pp. 109-139	Department of English and Comparative Literature, American University in Cairo and American University in Cairo Press	fla		تستكشف هذه المقالة تحديداﹰ التناقضت الكامنة في الحداثة والتي تخلف تعددية، لا بالأصوات فحسب، بل أيضاﹰ بتوليد خطابات وأساليب مختلفة ﺗﻤﻜﱢﻦ النضال النسائي من التعبير والمطالبة بحقوقهن٠ وهذا التعبير يتخذ أساليب متباينة محاولاﹰ أن يجد منفذاﹰ له يخرجه من فضاء ﺍﻟﻤﺴﺘﻨﻜَﺮ أو المسكوت عنه٠ وتركز هذه المقالة على كتابات درية شفيق ﺑﺎﻟﻔﺮﻧﺴﻴﺔ، بما في ذلك قصائدها المنشورة وأشعارها المخطوطة٠ ودرية شفيق (١٩٠٨-١٩٧٥) مناضلة نسوية مصرية انشغل خطابها العام وأعمالها الصحفية والأدبية بقضايا الكولونيالية وما بعد الكولونيالية حاملة راية الوعي النسوي في نصف قرن من الكفاح المتوصل٠ إن قصائد درية شفيق المكتوبة بالفرنسية جزء من أدبيات الفرانكوفونيين المصريين٠ ويتسم شعر درية شفيق الفرنسي باندراجه في التيارات الأدبية الصاعدة في تلك الفترة، ألا وهي التجريب الأسلوبي والتعبير عن القضايا الإنسانية الكبرى٠ وفي تحليل قصائد مختارة لدرية شفيق، ترصد المقالة التوتر الإبداعي بين إشكاليات المعيش وحلم المساواة والتحرير٠ وبقدر ما ووجه نضال درية شفيق بمعوقات أدت إلى تحديد حركتها وتحجيم أثرها في العقدين الأخيرين من عمرها، بقدر ما جعلت من الشعر الفضاء الذي ﺗﻌﺒّﺮ فيه عن مكنونات نفسها بعد أن انغلق أمامها باب الخطاب العام على صفحات الجرائد والمجلات٠ واستخدام درية شفيق لأجناس خطابية متعددة منها الخطاب السياسي والخطاب الشعري والخطاب الفلسفي في مجموع كتاباتها ليس وليد الصدفة٠ وإنما تعكس هذه التعددية نوعية النضال الذي كانت قد انخرطت فيه، كما أن تعددية المنابر التعبيرية تعكس التغيرات في مسيرة درية شفيق وموقعها على خارطة السياسة٠ ولهذا ترى المقالة أن من الضروري أن نربط اختيار جنس الخطاب - فلسفياﹰ أو سياسياﹰ أو أدبياﹰ - بذات صاحبته ومعاناتها، وأن يُنظر إلى دلالة النوع التعبيري والشكل الأدبي باعتبارهما مؤشراﹰ لحالة عند المبدع والمفكر٠ إن التركيب الازدواجي والتعددي في خطاب درية شفيق لا يُفسر بمجرد كونها مزدوجة اللغة (العربية والفرنسية)، أو بكونها مزيجاﹰ ثقافياﹰ نتيجة الإمبريالية التي هجّنت الثقافات ﺍﻟﻤﺴﺘﻌﻤَﺮﺓ، لكنه في حقيقة الأمر نتيجة نضال على مستويات عديدة والوعي بضرورة التحقق عبر كل المنافذ المتاحة لها٠	
10.2307/3813168	10.2307/3813168	Conclusion: The State of Sexual Theory	David L. Weis	The Journal of Sex Research	35	1	1998-01-01T00:00:00Z	pp. 100-114	Taylor & Francis, Ltd.	fla		The final article provides an independent assessment of 39 theoretical perspectives, drawn mostly from the disciplines of biology, psychology, and sociology, that have been or could be used in sexuality research. For each theory, a set of suggested readings is provided, and the author rates each theory on a number of criteria for evaluating theory. Several problems that sexual scientists must confront in building better theories are mentioned. Two specific issues of central concern to the field are discussed at length. The first is the need for refinement of the theoretical concepts of sexual phenomena. Investigation of power dynamics within sexual relationships is used as one example of this. The second issue is the need to develop and test explanatory models that identify correlates of such sexual concepts. Here, a possible explanatory model of social script internalization is presented.	
10.2307/130390	10.2307/130390	So Much Depends... Russian Critics in Search of "Reality"	Edward J. Brown	Russian Review	48	4	1989-10-01T00:00:00Z	pp. 353-381	The Editors and Board of Trustees of the Russian Review, Wiley	fla			
10.2979/meridians.2010.10.2.76	10.2979/meridians.2010.10.2.76	Supporting Activist Women: <i>Blanche Wiesen Cook and Feminist Biography</i>	Debra L. Schultz	Meridians	10	2	2010-04-01T00:00:00Z	pp. 76-80	Indiana University Press	fla			
10.2307/27553696	10.2307/27553696	Theories of American Labour Violence	Rhodri Jeffreys-Jones	Journal of American Studies	13	2	1979-08-01T00:00:00Z	pp. 245-264	British Association for American Studies, Cambridge University Press	fla			
10.2307/27501689	10.2307/27501689	"The Moral Aspects of Complex Problems": New York City Electoral Campaigns against Vice and the Incorporation of Immigrants, 1890-1901	Val Johnson	Journal of American Ethnic History	25	2/3	2006-01-01T00:00:00Z	pp. 74-106	Immigration & Ethnic History Society, University of Illinois Press	fla			
10.2307/3096939	10.2307/3096939	Public Eyes and Private Genes: Historical Frames, News Constructions, and Social Problems	Peter Conrad	Social Problems	44	2	1997-05-01T00:00:00Z	pp. 139-154	Society for the Study of Social Problems, University of California Press	fla			
10.2307/3199999	10.2307/3199999	Impersonal Dilemmas: The Collision of Modernist and Popular Traditions in Two Political Novels, "The Grapes of Wrath" and "Ragtime"	Thomas G. Evans	South Atlantic Review	52	1	1987-01-01T00:00:00Z	pp. 71-85	South Atlantic Modern Language Association	fla			
10.2307/25775474	10.2307/25775474	Chicken Lady	Chicken Lady	Off Our Backs	15	5	1985-05-01T00:00:00Z	pp. 25-26	off our backs, inc.	fla			
10.2307/3174911	10.2307/3174911	Differences and Identities: Feminism and the Albuquerque Lesbian Community	Trisha Franzen	Signs	18	4	1993-07-01T00:00:00Z	pp. 891-906	The University of Chicago Press	fla			
10.2307/41719722	10.2307/41719722	"So, You Think You Have a History?": Taking a Q from Lesbian and Gay Studies in Writing Education History	Karen Graves	History of Education Quarterly	52	4	2012-11-01T00:00:00Z	pp. 465-487	History of Education Society	fla			
10.2307/1006782	10.2307/1006782	Frank Tannenbaum: The Making of a Mexicanist, 1914-1933	Helen Delpar	The Americas	45	2	1988-10-01T00:00:00Z	pp. 153-171	Academy of American Franciscan History	fla			
10.2307/438939	10.2307/438939	Marianne Moore and the Women Modernizing New York	Cristanne Miller	Modern Philology	98	2	2000-11-01T00:00:00Z	pp. 339-362	The University of Chicago Press	fla			
10.2307/40249062	10.2307/40249062	The Feminist Reconstruction of History	Carroll Smith-Rosenberg	Academe	69	5	1983-09-01T00:00:00Z	pp. 26-37	American Association of University Professors	fla			
10.2307/20059135	10.2307/20059135	Mad and Modern: A Reading of Emily Holmes Coleman and Antonia White	Kylie Valentine	Tulsa Studies in Women's Literature	22	1	2003-04-01T00:00:00Z	pp. 121-147	University of Tulsa	fla			
10.2307/3178182	10.2307/3178182	Feminist Misogyny: Mary Wollstonecraft and the Paradox of "It Takes One to Know One"	Susan Gubar	Feminist Studies	20	3	1994-10-01T00:00:00Z	pp. 452-473	Feminist Studies, Inc.	fla			
10.2307/4288639	10.2307/4288639	Spadina Avenue, Toronto: A Photo-History. An Exhibition at the A-Space Gallery, Spadina Avenue, Toronto	Barbara Taylor	History Workshop		19	1985-04-01T00:00:00Z	pp. 190-191	Oxford University Press	fla			
10.2307/125309	10.2307/125309	American Intelligentsia and Russia of the N. E. P.	Dimitri von Mohrenschildt	Russian Review	6	2	1947-04-01T00:00:00Z	pp. 59-66	The Editors and Board of Trustees of the Russian Review, Wiley	fla			
10.2307/23223670	10.2307/23223670	Reading Like a Historian: A Document-Based History Curriculum Intervention in Urban High Schools	Avishag Reisman	Cognition and Instruction	30	1	2012-01-01T00:00:00Z	pp. 86-112	Taylor & Francis, Ltd.	fla		Enthusiasm about the instructional potential of primary sources dates to the late nineteenth century and has been echoed recently in the work of literacy experts, historians, and educational psychologists. Yet, no extended intervention study has been undertaken to test the effectiveness of primary source instruction in real history classrooms. This study, with 236 11th-grade students in five San Francisco high schools, represented the first extended curriculum intervention in disciplinary reading in an urban district. The Reading Like a Historian (RLH) curriculum constituted a radical departure from traditional textbook-driven instruction by using a new activity structure, the "Document-Based Lesson," in which students used background knowledge to interrogate, and then reconcile, historical accounts from multiple texts. A quasi-experiment control design measured the effects of a 6-month intervention on four dimensions: (a) students' historical thinking; (b) their ability to transfer historical thinking strategies to contemporary issues; (c) their mastery of factual knowledge; and (d) their growth in general reading comprehension. MANCOVA analysis yielded significant main effects for the treatment condition on all four outcome measures. This study has implications for both adolescent literacy instruction and history teaching at the middle- and high-school levels.	
10.2307/1428642	10.2307/1428642	The Hindu Conspiracy in California, 1913-1918	Karl Hoover	German Studies Review	8	2	1985-05-01T00:00:00Z	pp. 245-261	German Studies Association, The Johns Hopkins University Press	fla			
10.2307/3054442	10.2307/3054442	"You Can't Go Home, Yankee:" Teaching U.S. History to Canary Islands Students	Juan José Cruz	The History Teacher	35	3	2002-05-01T00:00:00Z	pp. 343-372	Society for History Education	fla			
10.1525/phr.2006.75.4.713	10.1525/phr.2006.75.4.713	<span class="smallcaps">HISTORICAL NEWS</span>	SUSAN WLADAVER-MORGAN	Pacific Historical Review	75	4	2006-11-01T00:00:00Z	pp. 713-720	University of California Press	fla			
10.2307/3331993	10.2307/3331993	Art in a Therapeutic Age: Part I	Clarence J. Karier	Journal of Aesthetic Education	13	3	1979-07-01T00:00:00Z	pp. 51-66	University of Illinois Press	fla			
10.2307/25784359	10.2307/25784359	a comedy in six unnatural acts	terri poppe	Off Our Backs	6	5	1976-07-01T00:00:00Z	pp. 16-17	off our backs, inc.	fla			
10.2307/41053999	10.2307/41053999	US IMPERIALISM IN THE TWENTIETH CENTURY?	CLARE CORBOULD	Australasian Journal of American Studies	24	2	2005-12-01T00:00:00Z	pp. 128-141	Australia and  New Zealand American Studies Association	fla			
10.2307/3346671	10.2307/3346671	"Yellow Clover": Katharine Lee Bates and Katharine Coman	Judith Schwarz	Frontiers: A Journal of Women Studies	4	1	1979-04-01T00:00:00Z	pp. 59-67	University of Nebraska Press	fla			
10.2307/40342309	10.2307/40342309	An Overture into the Future: The Music of Social Justice	Joe Uehlein	New Labor Forum		9	2001-10-01T00:00:00Z	pp. 24-34	Joseph S. Murphy Institute, City University of New York	fla			
10.2307/3486894	10.2307/3486894	The Economics of Edward Alsworth Ross	William E. Spellman	American Journal of Economics and Sociology	38	2	1979-04-01T00:00:00Z	pp. 129-140	American Journal of Economics and Sociology, Inc.	fla		Edward Alsworth Ross gained fame as a founding father of American sociology; however, he was trained as an economist by Richard T. Ely and made significant contributions in economics before he moved into sociology. Ross was the John Kenneth Galbraith of the populist-progressive era. The similarity in background, methodology, Weltanschauung, and controversial academic and political styles of these men is discussed. Ross became a cause célébre after his dismissal from Stanford University in 1900 which became a major academic freedom case. Although he was a professional economist for only six years, Ross made original contributions in the areas of taxation, debt management, value theory, uncertainty, and location theory. The discussion of uncertainty as a factor in production precedes Knight's concept of risk and uncertainty and challenges neoclassical policy conclusions in a dynamic environment. His treatment of location theory includes a discussion of agglomeration, externalities, regional dualism, factor endowment, and comparative advantage to explain economic mobility.	
10.2307/25679525	10.2307/25679525	Cattle Branding and the Traffic in Women in Early Twentieth-Century Westerns by Women	VICTORIA LAMONT	Legacy	22	1	2005-01-01T00:00:00Z	pp. 30-46	University of Nebraska Press	fla			
